,mean,std,min,max,max_abs_dev_from_uniform,frac_within_±0.05
Weight_RF,0.34928865210143967,0.03539092998999822,0.32797042769822526,0.5360173602242797,0.2026840268909464,0.944
Weight_GB,0.31869958031626855,0.03040981340274378,0.24169612067739824,0.4590078018311075,0.1256744684977742,0.878
Weight_LSTM,0.3320117675822917,0.058761584036604246,0.0129198436948381,0.39671322802427395,0.3204134896384952,0.912
