Variable,Coefficient,Std_Error,R_squared,p_value
Mean_VIX,-0.005417,0.003077,0.3406,0.1288
Realised_Vol,-0.261468,0.158728,0.3114,0.1506
Avg_Pair_Corr,-0.148868,0.120681,0.2023,0.2635
Cum_Return,-0.003241,0.045743,0.0008,0.9458
