Ticker,Annualised_Alpha_%,t_stat,p_value
AAPL,-29.5,-1.916,0.0559
AMZN,-20.8,-1.261,0.2079
GOOGL,-14.25,-1.005,0.3154
META,-16.41,-0.862,0.3892
MSFT,-13.94,-1.16,0.2467
NVDA,-54.33,-2.033,0.0425
TSLA,-34.81,-1.013,0.3116
