Strategy,Total Return %,Sharpe,Sharpe_CI_lo,Sharpe_CI_hi,Sortino,Calmar,Max DD %,Exposure %
Buy & Hold,110.9,1.507,0.263,2.846,2.155,1.427,-29.0,99.8
12-1 Momentum,22.6,0.712,-0.548,2.037,0.923,0.712,-16.3,61.1
OLS + overlay,0.9,0.106,-1.178,1.594,0.054,0.08,-8.1,3.9
Equal-weight static ens.,9.4,0.358,-0.953,1.721,0.39,0.211,-28.0,50.9
Full HDE,32.4,1.095,-0.171,2.372,1.446,0.834,-18.1,51.2
