TX_cost_bps,Total_Return_%,Sharpe,Max_DD_%
0,37.8,1.233,-17.8
5,32.4,1.095,-18.1
10,27.2,0.956,-18.4
15,22.4,0.818,-18.6
20,17.8,0.679,-18.9
30,9.0,0.394,-19.3
