Model,N,MAE,MAE_CI_lo,MAE_CI_hi,DirAcc,DA_CI_lo,DA_CI_hi,R2,PT_p_vs_0.5,block_len
Linear,3500,0.017346321862890604,0.01620284750489977,0.018584832351987084,0.46885714285714286,0.45171428571428573,0.4857142857142857,-0.04159045061503286,0.5931010965806114,10
Ridge,3500,0.017346323884499068,0.016202849655806487,0.01858483430168849,0.46885714285714286,0.45171428571428573,0.4857142857142857,-0.041590540324673686,0.5931010965806114,10
RF,3500,0.016739843143229814,0.015581848005135556,0.018006824719214425,0.5017142857142857,0.48542857142857143,0.5191428571428571,0.009190223500837646,0.014712127391718566,10
GB,3500,0.018331271981613675,0.017162471954169176,0.019608986996942242,0.5097142857142857,0.49314285714285716,0.5268571428571428,-0.10930236880005006,0.9652842088816265,10
LSTM,3360,0.016798052140332805,0.01554321126277889,0.018151634604262185,0.5389880952380952,0.5229166666666667,0.5556547619047619,0.0019401731963413216,0.1299869061273673,10
HDE,3500,0.017899063395309854,0.01668628533122215,0.01922073528128316,0.5145714285714286,0.49885714285714283,0.5308571428571428,-0.10583594597408785,0.36275912971750435,10
