,Linear,Ridge,RF,GB,LSTM,HDE
Linear,,0.904820445258375,3.0124791550178998e-12,1.896735879469702e-09,1.4077627952246985e-13,0.00042899976380228466
Ridge,0.904820445258375,,3.0120350658080497e-12,1.8968884241132855e-09,1.4077627952246985e-13,0.00042902142259948484
RF,3.0124791550178998e-12,3.0120350658080497e-12,,0.0,0.1235167061297775,0.0
GB,1.896735879469702e-09,1.8968884241132855e-09,0.0,,0.0,0.015117579469095865
LSTM,1.4077627952246985e-13,1.4077627952246985e-13,0.1235167061297775,0.0,,0.0
HDE,0.00042899976380228466,0.00042902142259948484,0.0,0.015117579469095865,0.0,
