Date,Actual,Strategy_Ret,Weight_RF,Weight_GB,Weight_LSTM,Position,Market_Cum,HDE_Cum
2024-01-02,-0.010050031543215543,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,989.9499684567845,1000.0
2024-01-03,-0.007118102191826457,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,982.9034034165138,1000.0
2024-01-04,0.004318237424268,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,987.1478136775876,1000.0
2024-01-05,0.026906549504267914,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1013.7085551943335,1000.0
2024-01-08,0.0031154028680186146,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1016.8666657345209,1000.0
2024-01-09,0.014883480735742343,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1032.0011811647992,1000.0
2024-01-10,-0.0017910198974494143,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1030.1528465151416,1000.0
2024-01-11,-0.0019286198578426714,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1028.1660732787395,1000.0
2024-01-12,-0.0002569549459391857,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1027.9018809209638,1000.0
2024-01-16,-0.006719123381109073,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1020.9952813593817,1000.0
2024-01-17,0.013245416132813001,0.0,0.3708618680892389,0.3458047985774278,0.2833333333333333,0.0,1034.5187887306254,1000.0
2024-01-18,0.017512781962645385,0.010270666196154356,0.40384919160840343,0.35531747505826317,0.2408333333333333,0.42857142857142855,1052.6360907139247,1010.2706661961545
2024-01-19,-0.0024450610426167718,-0.0003770260937206285,0.43176945836273434,0.36352220830393234,0.2047083333333333,0.8571428571428571,1050.0623312164676,1009.8897677932781
2024-01-22,0.006020260813702628,0.005787641538304899,0.45378194794958965,0.37221596871707696,0.1740020833333333,0.8571428571428571,1056.3839803210353,1015.7346477624676
2024-01-23,0.007901771753615072,0.008796591056076043,0.4738963969370749,0.3782018322295917,0.1479017708333333,0.8571428571428571,1064.7312854177076,1024.6696500803216
2024-01-24,-0.011397142338940843,0.005924704999351743,0.49035303614027603,0.3839304586513906,0.1257165052083333,0.8571428571428571,1052.5963914050785,1030.7405154788364
2024-01-25,-0.0006024193881435287,-0.0010873929886404288,0.5057639334514571,0.38737703712145966,0.1068590294270833,0.8571428571428571,1051.962286931006,1029.6196954691973
2024-01-26,0.016533274497814398,0.010546143197263814,0.5167370197808988,0.3924328052060804,0.0908301750130208,0.8571428571428571,1069.3546681821852,1040.4782122163385
