Window_Start,Train_Size,Test_Size,MAE,Dir_Accuracy
2021-01-01,10234,903,0.015823386200316977,0.5359911406423035
2021-07-01,11102,917,0.014568811659602002,0.5190839694656488
2022-01-01,11998,903,0.02613795097807523,0.5138427464008859
2022-07-01,12866,910,0.024827703130260604,0.45164835164835165
2023-01-01,13755,896,0.02254046237417562,0.45424107142857145
2023-07-01,14623,910,0.019106085191420413,0.5373626373626373
2024-01-01,15505,896,0.015529226263367018,0.5569196428571429
2024-07-01,16373,910,0.017484088818697376,0.5417582417582417
