window,decay,threshold,fractional,allow_short,dd_limit,val_sharpe
10,0.9,0.0005,True,True,0.1,0.2471302128861336
10,0.9,0.0005,True,True,0.15,0.6235147424552383
10,0.9,0.0005,True,True,0.2,0.626876316037742
10,0.9,0.0005,True,False,0.1,1.7584915635790266
10,0.9,0.0005,True,False,0.15,1.9051207743162797
10,0.9,0.0005,True,False,0.2,1.934196958083712
10,0.9,0.0005,False,True,0.1,0.16808129691856746
10,0.9,0.0005,False,True,0.15,0.5252628976039085
10,0.9,0.0005,False,True,0.2,0.6526877847117631
10,0.9,0.0005,False,False,0.1,2.0177975385397806
10,0.9,0.0005,False,False,0.15,2.190188239093821
10,0.9,0.0005,False,False,0.2,2.221779331982044
10,0.9,0.001,True,True,0.1,0.5828935438838889
10,0.9,0.001,True,True,0.15,0.6113277159650607
10,0.9,0.001,True,True,0.2,0.5800350576138338
10,0.9,0.001,True,False,0.1,1.6210258661476133
10,0.9,0.001,True,False,0.15,1.6100155797249673
10,0.9,0.001,True,False,0.2,1.6568433585109965
10,0.9,0.001,False,True,0.1,0.37417083762764997
10,0.9,0.001,False,True,0.15,0.5611295719905278
10,0.9,0.001,False,True,0.2,0.6632383623113329
10,0.9,0.001,False,False,0.1,1.8057737183926865
10,0.9,0.001,False,False,0.15,1.9294077255737032
10,0.9,0.001,False,False,0.2,1.9820631443922112
10,0.9,0.002,True,True,0.1,0.2546564041613278
10,0.9,0.002,True,True,0.15,0.21275581198164428
10,0.9,0.002,True,True,0.2,0.1744385571968669
10,0.9,0.002,True,False,0.1,1.2561449704267027
10,0.9,0.002,True,False,0.15,1.25542586615346
10,0.9,0.002,True,False,0.2,1.2723331750688915
10,0.9,0.002,False,True,0.1,0.7501884689789353
10,0.9,0.002,False,True,0.15,0.6212920767498409
10,0.9,0.002,False,True,0.2,0.5349957577030793
10,0.9,0.002,False,False,0.1,1.5198545803556103
10,0.9,0.002,False,False,0.15,1.5973838019118674
10,0.9,0.002,False,False,0.2,1.6706509130842693
10,0.95,0.0005,True,True,0.1,0.5087855513978738
10,0.95,0.0005,True,True,0.15,0.64742491346982
10,0.95,0.0005,True,True,0.2,0.5880965975732468
10,0.95,0.0005,True,False,0.1,1.7622343805686396
10,0.95,0.0005,True,False,0.15,1.815136419739668
10,0.95,0.0005,True,False,0.2,1.8264333065487015
10,0.95,0.0005,False,True,0.1,0.16058471381440692
10,0.95,0.0005,False,True,0.15,0.5312090690055474
10,0.95,0.0005,False,True,0.2,0.6248145946969553
10,0.95,0.0005,False,False,0.1,1.9795308307837634
10,0.95,0.0005,False,False,0.15,2.118617856351715
10,0.95,0.0005,False,False,0.2,2.128842381267286
10,0.95,0.001,True,True,0.1,0.7846846687204858
10,0.95,0.001,True,True,0.15,0.6949219041113341
10,0.95,0.001,True,True,0.2,0.6289771460381124
10,0.95,0.001,True,False,0.1,1.678366092854189
10,0.95,0.001,True,False,0.15,1.612442036275187
10,0.95,0.001,True,False,0.2,1.6416994200468342
10,0.95,0.001,False,True,0.1,0.6631664385424135
10,0.95,0.001,False,True,0.15,0.7511289601343282
10,0.95,0.001,False,True,0.2,0.7401099450140225
10,0.95,0.001,False,False,0.1,1.8232587333129397
10,0.95,0.001,False,False,0.15,1.9194097386331443
10,0.95,0.001,False,False,0.2,1.9111031993818002
10,0.95,0.002,True,True,0.1,0.32911367980932976
10,0.95,0.002,True,True,0.15,0.289305004674422
10,0.95,0.002,True,True,0.2,0.256431580554026
10,0.95,0.002,True,False,0.1,1.3243025052595716
10,0.95,0.002,True,False,0.15,1.3163839133425788
10,0.95,0.002,True,False,0.2,1.3364214906794645
10,0.95,0.002,False,True,0.1,0.5472392411713286
10,0.95,0.002,False,True,0.15,0.4658699744369871
10,0.95,0.002,False,True,0.2,0.33512045601719626
10,0.95,0.002,False,False,0.1,1.46823403284505
10,0.95,0.002,False,False,0.15,1.440405524869629
10,0.95,0.002,False,False,0.2,1.4731242749863693
10,1.0,0.0005,True,True,0.1,0.7289428401373795
10,1.0,0.0005,True,True,0.15,0.7263918404852815
10,1.0,0.0005,True,True,0.2,0.6811535223985032
10,1.0,0.0005,True,False,0.1,1.8120656431023943
10,1.0,0.0005,True,False,0.15,1.8172848429415045
10,1.0,0.0005,True,False,0.2,1.8091233594994636
10,1.0,0.0005,False,True,0.1,0.7303340566315816
10,1.0,0.0005,False,True,0.15,0.7405524286410214
10,1.0,0.0005,False,True,0.2,0.6953979929533813
10,1.0,0.0005,False,False,0.1,2.016528964264825
10,1.0,0.0005,False,False,0.15,2.060335373760611
10,1.0,0.0005,False,False,0.2,2.0484065590710676
10,1.0,0.001,True,True,0.1,0.8843822490036638
10,1.0,0.001,True,True,0.15,0.7651891875970872
10,1.0,0.001,True,True,0.2,0.6702238970313058
10,1.0,0.001,True,False,0.1,1.7033391389125194
10,1.0,0.001,True,False,0.15,1.634155167162183
10,1.0,0.001,True,False,0.2,1.6431154051949564
10,1.0,0.001,False,True,0.1,1.006211704336063
10,1.0,0.001,False,True,0.15,1.038987830936932
10,1.0,0.001,False,True,0.2,0.9118275883333216
10,1.0,0.001,False,False,0.1,1.890780627464923
10,1.0,0.001,False,False,0.15,1.9078246383039006
10,1.0,0.001,False,False,0.2,1.881072886123334
10,1.0,0.002,True,True,0.1,0.4983353946726672
10,1.0,0.002,True,True,0.15,0.4807106571385091
10,1.0,0.002,True,True,0.2,0.4802684742079594
10,1.0,0.002,True,False,0.1,1.4683985640694235
10,1.0,0.002,True,False,0.15,1.496056681995496
10,1.0,0.002,True,False,0.2,1.5014287442830008
10,1.0,0.002,False,True,0.1,0.6536539821947913
10,1.0,0.002,False,True,0.15,0.6693345352487631
10,1.0,0.002,False,True,0.2,0.6676528103259209
10,1.0,0.002,False,False,0.1,1.6362352222018268
10,1.0,0.002,False,False,0.15,1.63861350510382
10,1.0,0.002,False,False,0.2,1.6758392697505655
20,0.9,0.0005,True,True,0.1,-2.8625608646057734
20,0.9,0.0005,True,True,0.15,-2.587530640412757
20,0.9,0.0005,True,True,0.2,-2.31473510990023
20,0.9,0.0005,True,False,0.1,0.68539134773328
20,0.9,0.0005,True,False,0.15,0.7623250708074211
20,0.9,0.0005,True,False,0.2,0.7891717689776908
20,0.9,0.0005,False,True,0.1,-2.705546765342744
20,0.9,0.0005,False,True,0.15,-2.504831171725164
20,0.9,0.0005,False,True,0.2,-2.2544424521611166
20,0.9,0.0005,False,False,0.1,1.0215065634450695
20,0.9,0.0005,False,False,0.15,1.1180586382605637
20,0.9,0.0005,False,False,0.2,1.1216838005203638
20,0.9,0.001,True,True,0.1,-2.7851079703985397
20,0.9,0.001,True,True,0.15,-1.9429182311395108
20,0.9,0.001,True,True,0.2,-1.6885633632813979
20,0.9,0.001,True,False,0.1,0.48352298180569625
20,0.9,0.001,True,False,0.15,0.5624281386015378
20,0.9,0.001,True,False,0.2,0.5827414985545101
20,0.9,0.001,False,True,0.1,-2.696076622418202
20,0.9,0.001,False,True,0.15,-2.381369472505698
20,0.9,0.001,False,True,0.2,-2.1217521220728264
20,0.9,0.001,False,False,0.1,0.903140058303159
20,0.9,0.001,False,False,0.15,0.9452390331047114
20,0.9,0.001,False,False,0.2,0.9768443165487314
20,0.9,0.002,True,True,0.1,-2.3423489951563092
20,0.9,0.002,True,True,0.15,-1.7388834576754133
20,0.9,0.002,True,True,0.2,-1.6321146995674753
20,0.9,0.002,True,False,0.1,0.19500590419466904
20,0.9,0.002,True,False,0.15,0.18517130388078692
20,0.9,0.002,True,False,0.2,0.19280374355913554
20,0.9,0.002,False,True,0.1,-2.7730905178444654
20,0.9,0.002,False,True,0.15,-2.722583559115048
20,0.9,0.002,False,True,0.2,-2.562376760651113
20,0.9,0.002,False,False,0.1,0.21013399643888037
20,0.9,0.002,False,False,0.15,0.28718725633684694
20,0.9,0.002,False,False,0.2,0.310706377470323
20,0.95,0.0005,True,True,0.1,-2.6610055730988877
20,0.95,0.0005,True,True,0.15,-2.170554428515006
20,0.95,0.0005,True,True,0.2,-2.0507623179532706
20,0.95,0.0005,True,False,0.1,0.8523026153596021
20,0.95,0.0005,True,False,0.15,0.7709470011652294
20,0.95,0.0005,True,False,0.2,0.8311829786776598
20,0.95,0.0005,False,True,0.1,-2.554188825109177
20,0.95,0.0005,False,True,0.15,-2.105058972712397
20,0.95,0.0005,False,True,0.2,-1.8315327514131108
20,0.95,0.0005,False,False,0.1,1.2775530649592446
20,0.95,0.0005,False,False,0.15,1.2094262242662424
20,0.95,0.0005,False,False,0.2,1.1734456085912188
20,0.95,0.001,True,True,0.1,-2.428376214238505
20,0.95,0.001,True,True,0.15,-1.8383512770897186
20,0.95,0.001,True,True,0.2,-1.5731950172016864
20,0.95,0.001,True,False,0.1,0.585004654939227
20,0.95,0.001,True,False,0.15,0.580381074069212
20,0.95,0.001,True,False,0.2,0.6008771091290361
20,0.95,0.001,False,True,0.1,-2.4478369116728493
20,0.95,0.001,False,True,0.15,-2.011019842674589
20,0.95,0.001,False,True,0.2,-1.906227732186428
20,0.95,0.001,False,False,0.1,0.8588180160713571
20,0.95,0.001,False,False,0.15,0.8046051126984758
20,0.95,0.001,False,False,0.2,0.7803864622828606
20,0.95,0.002,True,True,0.1,-1.9255747609596732
