Model,Best_Params,Val_MAE,Test_MAE,Test_RMSE,Test_R2,Test_DirAcc
Linear_Regression,N/A,0.016912957414467134,0.017346321862890604,0.025727371175460416,-0.04159045061503286,0.46885714285714286
Ridge_Regression,{'alpha': 0.01},0.01691295907561124,0.017346323884499065,0.025727372283378208,-0.041590540324673686,0.46885714285714286
RF_Regressor,"{'n_estimators': 100, 'max_depth': 5, 'random_state': 42}",0.01659645672963626,0.016739843143229814,0.025092391737489863,0.009190223500837646,0.5017142857142857
GB_Regressor,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.01, 'random_state': 42}",0.017499679529499913,0.018331271981613675,0.026550450082631762,-0.10930236880005006,0.5097142857142857
