Date,Ticker,Adj_Close,VIX_Value,Actual,Pred_RF,Pred_GB,Pred_LSTM,Weight_RF,Weight_GB,Weight_LSTM,Ensemble_Delta
2024-01-02,AAPL,183.73130798339844,13.2,-0.0074875747601012,-0.0027398797594178686,-0.00442071843982424,,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0035802990996210544
2024-01-03,AAPL,182.35560607910156,14.04,-0.0127001770667994,-0.002612653778245544,-0.005725999515215692,,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.004169326646730618
2024-01-04,AAPL,180.03965759277344,14.13,-0.0040130250844154,-0.004243566815799661,-0.012792588837964148,,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.008518077826881906
2024-01-05,AAPL,179.31715393066406,13.35,0.0241749958665655,-0.004243566815799661,-0.027609306018067978,,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.01592643641693382
2024-01-08,AAPL,183.6521453857422,13.08,-0.0022635752408205,-0.0031262770426657652,-0.005970036816685139,,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.004548156929675452
2024-01-09,AAPL,183.23643493652344,12.76,0.0056716100475802,-0.0027398797594178686,-0.00442071843982424,,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0035802990996210544
2024-01-10,AAPL,184.2756805419922,12.69,-0.00322257148088,-0.0027398797594178686,-0.019302377965653886,,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.011021128862535878
2024-01-11,AAPL,183.6818389892578,12.44,0.0017781528194626,-0.0027398797594178686,-0.00442071843982424,,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0035802990996210544
2024-01-12,AAPL,184.00845336914065,12.7,-0.0123172574449105,-0.0027398797594178686,-0.00442071843982424,,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0035802990996210544
2024-01-16,AAPL,181.74197387695312,13.84,-0.0051734406927853,-0.0027398797594178686,-0.019237435619928085,,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.010988657689672977
2024-01-17,AAPL,180.80174255371097,14.79,0.0325707866378517,-0.002841439721411047,-0.019302377965653886,,0.38233385383464824,0.33433281283201843,0.2833333333333333,-0.004028521574899047
2024-01-18,AAPL,186.6905975341797,14.13,0.0155328728221721,0.001050130269069273,-0.002275249011884122,,0.42014156261027275,0.3390251040563939,0.24083333333333332,0.008053967425007965
2024-01-19,AAPL,189.59043884277344,13.3,0.0121634617435382,0.001050130269069273,-0.002275249011884122,,0.4513275548480158,0.34396411181865083,0.20470833333333333,0.009814346900505082
2024-01-22,AAPL,191.89651489257812,13.19,0.0066530005653566,0.003708806364184656,0.013518453963161996,,0.47590935153035807,0.35008856513630854,0.17400208333333333,0.017319304376401213
2024-01-23,AAPL,193.17320251464844,12.55,-0.0034838625794927,0.0011482070884660162,-0.002245078436567167,,0.4967655959677415,0.35533263319892516,0.14790177083333336,0.007885874039231553
2024-01-24,AAPL,192.50021362304688,13.14,-0.0016966169280897,0.0011482070884660162,-0.0019150866605220946,,0.5118677890284878,0.3624157057631789,0.12571650520833336,0.006848096050163366
2024-01-25,AAPL,192.17361450195312,13.45,-0.0090127351363197,0.0011482070884660162,-0.002245078436567167,,0.5232749998551935,0.3698659707177231,0.10685902942708332,0.005511314671171677
2024-01-26,AAPL,190.4416046142578,13.26,-0.0035859935367826,0.0011482070884660162,-0.0026043640358198177,,0.526891456389976,0.3822783685970032,0.09083017501302083,0.0033575541301754473
2024-01-29,AAPL,189.75868225097656,13.6,-0.0192456994899897,-0.0029395165408077906,-0.019302377965653886,,0.5271731589559637,0.3956211922829686,0.07720564876106771,-0.0064386108722063375
2024-01-30,AAPL,186.1066436767578,13.31,-0.0193576369316743,-0.002841439721411047,-0.019302377965653886,,0.5172868189998756,0.4170883795532169,0.06562480144690755,-0.007810502024468973
2024-01-31,AAPL,182.50405883789065,14.35,0.0133406507005591,-0.002841439721411047,-0.004485660785550043,0.00094306795,0.49650614474776006,0.4477127740223686,0.05578108122987141,-0.0032612824513770147
2024-02-01,AAPL,184.93878173828125,13.88,-0.0054051320165396,-0.0030513019203193114,-0.006034979162410941,0.0011838924,0.4766569757071858,0.47592910524742355,0.0474139190453907,-0.0037713455310485035
2024-02-02,AAPL,183.9391632080078,13.85,0.0098466673032129,-0.002949741958326133,-0.006323692179573158,0.001164345,0.45557435846667776,0.5041238103447402,0.04030183118858209,-0.0048543051579475254
2024-02-05,AAPL,185.75035095214844,13.67,0.0086316527065097,0.0012497670504591956,-0.0022743722597747453,0.0010812718,0.44408857482927083,0.5216548686604344,0.03425655651029478,0.0006450737041707425
2024-02-06,AAPL,187.3536834716797,13.06,0.0005810198078561,-0.0027398797594178686,-0.019302377965653886,0.0012044063,0.43837870115348915,0.5325032258127603,0.029118073033750563,-0.008772491191732054
2024-02-07,AAPL,187.46253967285156,12.83,-0.0057546490611527,-0.0029395165408077906,-0.019302377965653886,0.0012763645,0.4473963785414536,0.5278532593798585,0.024750362078687974,-0.007106950553725372
2024-02-08,AAPL,186.38375854492188,12.79,0.0040938706881772,0.0012497670504591956,-0.0026043640358198177,0.0012355968,0.46230947859659643,0.5166527136365189,0.021037807766884777,0.004055121570017521
2024-02-09,AAPL,187.14678955078125,12.93,-0.0090017392790391,0.0011482070884660162,-0.0022743722597747453,0.0013009186,0.478141283941482,0.5039765794566661,0.01788213660185206,0.004810177387985181
2024-02-12,AAPL,185.4621429443359,13.93,-0.0112744742726672,0.0011482070884660162,-0.0022743722597747453,0.0012828866,0.4889168557002138,0.4958833281882119,0.015199816111574248,0.003116384913879461
2024-02-13,AAPL,183.37115478515625,15.85,-0.0048096878096548,0.0013758263286655183,0.008357764363935339,0.0013441577,0.4984713480354016,0.4886088082697602,0.012919843694838111,0.006838559326823056
2024-02-14,AAPL,182.48919677734375,14.38,-0.0015748838674699,0.0012777495092687753,0.008327593788618384,0.001532327,0.4798305862416914,0.45290394706102405,0.06726546669728448,0.00505546112855537
2024-02-15,AAPL,182.20179748535156,14.01,-0.0084303559140247,0.0013758263286655183,0.008357764363935339,0.0014573429,0.46646242756479145,0.41976582172371996,0.11377175071148864,0.0028561778193791827
2024-02-16,AAPL,180.665771484375,14.24,-0.0041138124369093,0.0013758263286655183,0.010850227192612609,0.0013580744,0.4545224048672273,0.3906330756026184,0.15484451953015438,0.0018160823870061172
2024-02-20,AAPL,179.92254638671875,15.42,0.0041860155075681,0.0014773862906586977,0.010850227192612609,0.0013809367,0.44640519303306275,0.3637616589910407,0.18983314797589662,-0.0002014244187313756
2024-02-21,AAPL,180.6757049560547,15.34,0.0112438700107417,0.0014773862906586977,0.00912257715381273,0.0014638694,0.43996361552223934,0.3400679166047327,0.21996846787302798,-0.00102432005321695
2024-02-22,AAPL,182.7071990966797,14.54,-0.0100340749491874,-0.000499519948619426,0.004351988785058702,0.0014469246,0.4307900078590489,0.3280354489543668,0.2411745431865843,-0.002317243271565287
2024-02-23,AAPL,180.8739013671875,13.75,-0.0074513116184647,0.0014773862906586977,0.006630114325135465,0.0010683619,0.4224132019966465,0.3190253815910143,0.25856141641233926,-0.0022963954393208567
2024-02-26,AAPL,179.52615356445312,13.74,0.0081145383091099,0.0014773862906586977,0.009187519499538532,0.0009910471,0.41511500667983503,0.31088934093646786,0.273995652383697,-0.0028220485277559463
2024-02-27,AAPL,180.98292541503903,13.43,-0.0066256371672394,0.0013758263286655183,0.006630114325135465,0.0010855704,0.40773953502061544,0.30662025945403365,0.2856402055253508,-0.0018165031928048278
2024-02-28,AAPL,179.78379821777344,13.84,-0.0036929936750099,0.0013758263286655183,0.006630114325135465,0.0011161505,0.40254466107585024,0.3003487730668647,0.2971065658572851,-0.0021816816156421124
2024-02-29,AAPL,179.11985778808594,13.4,-0.0060303443307956,0.0013758263286655183,0.010850227192612609,0.001167777,0.3983490864851876,0.2941889168484294,0.3074619966663831,-0.000978901915087815
2024-03-01,AAPL,178.03970336914062,13.11,-0.0253812775271875,0.001050130269069273,-0.0023045428350917004,0.0011668442,0.3954342956029093,0.28715262994442187,0.31741307445266886,-0.005684038406880589
2024-03-04,AAPL,173.5208282470703,13.49,-0.0284409913205938,-0.000253920005922598,-0.010581300312188844,0.0010959966,0.3899740129224532,0.2869243635157545,0.32310162356179234,-0.011288985331606428
2024-03-05,AAPL,168.58572387695312,14.46,-0.005878208622145,3.652661663955899e-05,-0.010568401835092254,0.0011414993,0.3821836484701861,0.29366821679440136,0.32414813473541265,-0.0138964481261825
2024-03-06,AAPL,167.59474182128906,14.5,-0.0007095195342754,0.0025971258923581974,0.00083628601755009,0.0013567178,0.3751767514987659,0.3007090781440636,0.32411417035717044,-0.00888045880534121
2024-03-07,AAPL,167.475830078125,14.44,0.0102366173407135,-0.004051197012634246,-0.027639476593384935,0.0013618965,0.36916133827687686,0.3059964268266267,0.32484223489649644,-0.019765121814068753
2024-03-08,AAPL,169.19021606445312,14.74,0.0118316566032801,-0.003953120193237503,-0.027609306018067978,0.0011952912,0.36642834080504416,0.30121957409187544,0.33235208510308034,-0.014967394571652953
2024-03-11,AAPL,171.1920166015625,15.22,0.0027784413204459,-0.0027398797594178686,-0.019086278841110735,0.0011919254,0.3651004565359255,0.29175112488668414,0.3431484185773905,-0.007480468781404065
2024-03-12,AAPL,171.66766357421875,13.84,-0.0121224893808333,0.0011516902310624523,-0.002239600489365898,0.00117639,0.36431347875897224,0.27941134529525125,0.3562751759457765,4.6466055133591484e-06
2024-03-13,AAPL,169.5866241455078,13.75,0.0109273603658943,0.0005776196701295561,-0.0020782427142666806,0.0010339236,0.3631025995900762,0.2718275660443918,0.36506983436553203,-0.0016472107780005994
2024-03-14,AAPL,171.43975830078125,14.4,-0.0021966136548198,0.0014773862906586977,0.0056438968107835235,0.0010593592,0.3619570611242271,0.26638930754594264,0.37165363132983026,0.0028839085551947744
2024-03-15,AAPL,171.06317138671875,14.41,0.0063722504628573,0.0014773862906586977,0.0056438968107835235,0.0011247676,0.3609559132688707,0.26164193468459934,0.37740215204652994,0.002609823458459764
2024-03-18,AAPL,172.15322875976562,14.33,0.01358525270793,0.0013758263286655183,0.003445777235633097,0.0012192448,0.35990648384587126,0.2577528978896167,0.382340618264512,0.0039499032329846865
2024-03-19,AAPL,174.49197387695312,13.82,0.0147090998859167,0.0013758263286655183,0.003445777235633097,0.001146271,0.35906586293229614,0.2543486197760412,0.38658551729166274,0.006877834141484987
2024-03-20,AAPL,177.05859375,13.04,-0.040857356680345,0.0012777495092687753,0.003415606660316142,0.0009836123,0.35785582942083694,0.2540297513625479,0.3881144192166152,0.008436976992570878
2024-03-21,AAPL,169.82444763183594,12.92,0.0053100668801211,0.0013758263286655183,0.006630114325135465,0.00082425465,0.3564896012774723,0.2575785611976953,0.3859318375248324,0.0021780683440210022
2024-03-22,AAPL,170.72622680664062,13.06,-0.008300328348727,0.0011482070884660162,-0.0022743722597747453,0.0007445994,0.35436249214493815,0.2641718813574983,0.3814656264975635,-0.0007584056333971381
2024-03-25,AAPL,169.30914306640625,13.19,-0.0066724081557022,0.0013758263286655183,0.010850227192612609,0.00076472224,0.35065609470317377,0.2746464567839754,0.3746974485128507,0.0006201283710921882
2024-03-26,AAPL,168.179443359375,13.24,0.0212124907274742,0.0013758263286655183,0.010850227192612609,0.00083972426,0.34847564652771634,0.28217274799934483,0.3693516054729387,-0.0010424379800738027
